subid,xd,xv,choice,cond,choice_category,trial
1512114,7,5,0,1,1,13
1512114,10,2,0,1,1,14
1512114,7,5,0,1,1,15
1512114,12,0,0,1,1,17
1512114,12,0,0,2,1,18
1512114,12,0,0,1,1,19
1512114,7,5,0,2,1,20
1512114,6,6,0,2,1,21
1512114,12,0,2,2,2,22
1512114,11,1,0,2,1,23
1512114,11,1,0,2,1,24
1512114,7,5,0,2,1,25
1512114,6,6,0,2,1,26
1512114,6,6,0,1,1,27
1512114,10,2,0,1,1,28
1512114,6,6,0,2,1,29
1512114,6,6,0,1,1,30
1512114,7,5,0,1,1,31
1512114,12,0,2,2,2,32
1512114,6,6,0,1,1,33
1512114,10,2,0,1,1,34
1512114,6,6,0,1,1,35
1512114,11,1,0,1,1,36
1512114,12,0,0,1,1,37
1512114,10,2,0,2,1,38
1512114,7,5,0,1,1,39
1512114,7,5,0,1,1,40
1512114,7,5,0,1,1,41
1512114,11,1,0,1,1,42
1512114,6,6,0,2,1,43
1512114,11,1,0,2,1,44
1512114,12,0,2,2,2,45
1512114,11,1,0,1,1,46
1512114,10,2,0,2,1,47
1512114,12,0,2,1,2,48
1512114,6,6,0,1,1,49
1512114,11,1,0,2,1,50
1512114,7,5,0,1,1,51
1512114,12,0,2,2,2,52
1512114,7,5,0,2,1,53
1512114,6,6,0,2,1,54
1512114,10,2,0,1,1,55
1512114,12,0,0,1,1,56
1512114,11,1,0,1,1,57
1512114,6,6,0,1,1,58
1512114,12,0,2,2,2,59
1512114,12,0,0,1,1,60
1512114,6,6,0,2,1,61
1512114,7,5,0,1,1,62
1512114,10,2,0,2,1,63
1512114,7,5,0,2,1,64
1512114,6,6,0,1,1,65
1512114,6,6,0,1,1,66
1512114,12,0,2,2,2,67
1512114,7,5,0,2,1,68
1512114,10,2,0,1,1,69
1512114,10,2,0,2,1,70
1512114,6,6,0,2,1,71
1512114,7,5,0,1,1,72
1512114,7,5,0,1,1,73
1512114,7,5,0,2,1,74
1512114,6,6,0,2,1,75
1512114,10,2,0,1,1,76
1512114,7,5,0,2,1,77
1512114,12,0,2,1,2,78
1512114,11,1,0,2,1,79
1512114,6,6,0,1,1,80
1512115,6,6,0,2,1,1
1512115,11,1,4,2,3,2
1512115,7,5,0,2,1,3
1512115,7,5,0,1,1,4
1512115,12,0,6,2,4,5
1512115,6,6,0,2,1,6
1512115,11,1,4,1,3,7
1512115,6,6,0,1,1,8
1512115,10,2,2,2,2,9
1512115,11,1,4,1,3,10
1512115,11,1,4,2,3,11
1512115,12,0,4,1,3,12
1512115,12,0,6,2,4,13
1512115,10,2,2,1,2,14
1512115,12,0,4,2,3,15
1512115,6,6,0,2,1,16
1512115,7,5,0,1,1,17
1512115,7,5,2,2,2,18
1512115,6,6,0,1,1,19
1512115,12,0,6,1,4,20
1512115,7,5,0,1,1,21
1512115,11,1,4,1,3,22
1512115,7,5,0,2,1,23
1512115,12,0,6,1,4,24
1512115,10,2,4,2,3,25
1512115,6,6,0,2,1,26
1512115,12,0,4,2,3,27
1512115,10,2,4,2,3,28
1512115,6,6,0,1,1,29
1512115,11,1,4,2,3,30
1512115,7,5,0,2,1,31
1512115,6,6,0,2,1,32
1512115,10,2,4,1,3,33
1512115,7,5,0,2,1,34
1512115,10,2,2,1,2,35
1512115,6,6,0,1,1,36
1512115,12,0,0,1,1,37
1512115,7,5,0,1,1,38
1512115,7,5,0,1,1,39
1512115,6,6,0,1,1,40
1512115,6,6,0,1,1,41
1512115,10,2,2,2,2,42
1512115,11,1,0,1,1,43
1512115,7,5,0,1,1,44
1512115,7,5,0,2,1,45
1512115,11,1,4,1,3,46
1512115,11,1,4,2,3,47
1512115,6,6,0,2,1,48
1512115,7,5,2,2,2,49
1512115,12,0,4,2,3,50
1512115,7,5,0,1,1,51
1512115,6,6,0,2,1,52
1512115,6,6,0,1,1,53
1512115,10,2,0,2,1,54
1512115,7,5,2,2,2,55
1512115,12,0,4,1,3,56
1512115,12,0,2,2,2,57
1512115,10,2,2,1,2,58
1512115,12,0,4,1,3,59
1512115,6,6,2,1,2,60
1512115,7,5,0,2,1,61
1512115,12,0,2,1,2,62
1512115,12,0,6,2,4,63
1512115,6,6,0,2,1,64
1512115,7,5,2,1,2,65
1512115,11,1,2,2,2,66
1512115,10,2,0,1,1,67
1512115,11,1,2,2,2,69
1512115,6,6,0,1,1,70
1512115,10,2,2,1,2,71
1512115,12,0,4,2,3,72
1512115,10,2,2,2,2,73
1512115,7,5,0,1,1,74
1512115,7,5,0,2,1,75
1512115,6,6,0,2,1,76
1512115,11,1,4,1,3,77
1512115,6,6,0,2,1,78
1512115,7,5,4,1,3,79
1512115,12,0,6,1,4,80
1512116,11,1,4,2,3,1
